year,country,average_height
2010,Brazil,181.91304347826087
2010,Argentina,181.95652173913044
2010,France,181.69565217391303
2010,Spain,181.30434782608697
2014,Brazil,181.6086956521739
2014,Argentina,181.82608695652175
2014,France,181.6086956521739
2014,Spain,180.3913043478261
2018,Brazil,180.34782608695653
2018,Argentina,179.2173913043478
2018,France,183.1304347826087
2018,Spain,180.30434782608697
