id,league_id,season_id,stage_id,round_id,group_id,aggregate_id,venue_id,referee_id,localteam_id,visitorteam_id,winner_team_id,weather_report,commentaries,attendance,pitch,details,neutral_venue,winning_odds_calculated,formations,scores,time,coaches,standings,assistants,leg,colors,deleted,is_placeholder,stage,competitive
1107565,732,5795,12884,,,,9408,48703,15251,18567,15251,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 2, 'visitorteam_score': 1, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '1-0', 'ft_score': '2-1', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2010-06-26 14:00:00', 'date': '2010-06-26', 'time': '14:00:00', 'timestamp': 1277560800, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 48734, 'second_assistant_id': 17354, 'fourth_official_id': 24618}",1/1,,False,False,1,1
1107576,732,5795,12884,,,,5373,19362,18571,18553,18553,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 1, 'visitorteam_score': 2, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-1', 'ft_score': '0-0', 'et_score': '1-2', 'ps_score': None}","{'status': 'AET', 'starting_at': {'date_time': '2010-06-26 18:30:00', 'date': '2010-06-26', 'time': '18:30:00', 'timestamp': 1277577000, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': 30, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 49480, 'second_assistant_id': None, 'fourth_official_id': None}",1/1,,False,False,1,1
1107586,732,5795,12884,,,,11987,,18660,18645,18660,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 4, 'visitorteam_score': 1, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '2-1', 'ft_score': '4-1', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2010-06-27 14:00:00', 'date': '2010-06-27', 'time': '14:00:00', 'timestamp': 1277647200, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': None, 'second_assistant_id': 22330, 'fourth_official_id': None}",1/1,,False,False,1,0
1107597,732,5795,12884,,,,1519,70139,18644,18576,18644,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 3, 'visitorteam_score': 1, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '2-0', 'ft_score': '3-1', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2010-06-27 18:30:00', 'date': '2010-06-27', 'time': '18:30:00', 'timestamp': 1277663400, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 70181, 'second_assistant_id': 70189, 'fourth_official_id': None}",1/1,,False,False,1,0
1107607,732,5795,12884,,,,12007,15274,18694,18648,18694,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 2, 'visitorteam_score': 1, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '1-0', 'ft_score': '2-1', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2010-06-28 14:00:00', 'date': '2010-06-28', 'time': '14:00:00', 'timestamp': 1277733600, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': None, 'second_assistant_id': 15300, 'fourth_official_id': 23026}",1/1,,False,False,1,1
1107619,732,5795,12884,,,,11993,32980,18704,18774,18704,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 3, 'visitorteam_score': 0, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '2-0', 'ft_score': '3-0', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2010-06-28 18:30:00', 'date': '2010-06-28', 'time': '18:30:00', 'timestamp': 1277749800, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': None, 'second_assistant_id': 42258, 'fourth_official_id': None}",1/1,,False,False,1,0
1107630,732,5795,12884,,,,4433,70393,18723,18597,18723,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 0, 'visitorteam_score': 0, 'localteam_pen_score': 5, 'visitorteam_pen_score': 3, 'ht_score': '0-0', 'ft_score': '0-0', 'et_score': None, 'ps_score': '5-3'}","{'status': 'FT_PEN', 'starting_at': {'date_time': '2010-06-29 14:00:00', 'date': '2010-06-29', 'time': '14:00:00', 'timestamp': 1277820000, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 11644, 'second_assistant_id': 48583, 'fourth_official_id': None}",1/1,,False,False,1,1
1107639,732,5795,12884,,,,1433,,18710,18701,18710,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 1, 'visitorteam_score': 0, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-0', 'ft_score': '1-0', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2010-06-29 18:30:00', 'date': '2010-06-29', 'time': '18:30:00', 'timestamp': 1277836200, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': None, 'second_assistant_id': 18423, 'fourth_official_id': None}",1/1,,False,False,1,1
1107651,732,5795,12890,,,,9408,25467,18694,18704,18694,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 2, 'visitorteam_score': 1, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-1', 'ft_score': '2-1', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2010-07-02 14:00:00', 'date': '2010-07-02', 'time': '14:00:00', 'timestamp': 1278079200, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 18896, 'second_assistant_id': 49742, 'fourth_official_id': 49447}",1/1,,False,False,1,1
1107661,732,5795,12890,,,,1519,49329,15251,18553,15251,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 1, 'visitorteam_score': 1, 'localteam_pen_score': 4, 'visitorteam_pen_score': 2, 'ht_score': '0-1', 'ft_score': '0-0', 'et_score': '1-1', 'ps_score': '4-2'}","{'status': 'FT_PEN', 'starting_at': {'date_time': '2010-07-02 18:30:00', 'date': '2010-07-02', 'time': '18:30:00', 'timestamp': 1278095400, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 49330, 'second_assistant_id': 49358, 'fourth_official_id': 15274}",1/1,,False,False,1,1
