Country,PS,Wins,Games,Stage
Brazil,35772.584374750004,3,5,1
Belgium,39273.783782307684,6,7,1
Argentina,37904.91617938094,1,4,1
France,38282.98201041379,6,7,1
England,37971.03415261539,4,7,1
Italy,37971.03415261539,0,0,0
Spain,37139.586283510645,1,4,1
Netherlands,37139.586283510645,0,0,0
Portugal,36446.60352070909,1,4,1
Denmark,37455.004799451606,1,4,1
Germany,38930.629038117644,1,3,0
Croatia,39115.65857073684,6,7,1
Mexico,38997.31149670733,2,4,1
Uruguay,38924.30675046068,4,5,1
Switzerland,39190.3406113196,1,4,1
United States,39190.3406113196,0,0,0
Colombia,39178.97831847116,2,4,1
Senegal,39169.815285342345,1,3,0
Wales,39169.815285342345,0,0,0
Iran,39111.684349361334,1,3,0
Serbia,39370.15420453542,1,3,0
Morocco,39399.61630931817,0,3,0
Peru,38968.86375316428,1,3,0
Japan,38694.10557400679,1,4,1
Sweden,38963.48808179997,3,5,1
Poland,38920.832852417145,1,3,0
Hungary,38920.832852417145,0,0,0
Ecuador,38920.832852417145,0,0,0
Russia,39030.76800731949,3,5,1
Australia,38855.97355356568,0,3,0
