Country,PS,Wins,Games,Stage
Brazil,39205.86746916667,3,5,1
Belgium,39205.86746916667,0,0,0
Argentina,36353.96043708333,4,5,1
France,34531.63061705,0,3,0
England,35838.209934821425,1,4,1
Italy,37006.5201110606,0,3,0
Spain,37757.01466870001,6,7,1
Netherlands,37295.34082593334,6,7,1
Portugal,37345.12793950943,1,4,1
Denmark,37962.28784023729,1,3,0
Germany,38921.41193380597,5,7,1
Croatia,38921.41193380597,0,0,0
Mexico,38191.157977460534,1,4,1
Uruguay,37977.372981821434,4,7,1
Switzerland,38162.15272072528,1,3,0
United States,38211.40766789797,1,4,1
Colombia,38211.40766789797,0,0,0
Senegal,38211.40766789797,0,0,0
Wales,38211.40766789797,0,0,0
Iran,38211.40766789797,0,0,0
Serbia,38518.5978758762,1,3,0
Morocco,38518.5978758762,0,0,0
Peru,38518.5978758762,0,0,0
Japan,38294.040417171185,2,4,1
Sweden,38294.040417171185,0,0,0
Poland,38294.040417171185,0,0,0
Hungary,38294.040417171185,0,0,0
Ecuador,38294.040417171185,0,0,0
Russia,38294.040417171185,0,0,0
Australia,38401.46198716668,1,3,0
